dc,dinve,dw,dy,labobs,pinfobs,robs
-0.699488697,-3.482968596,0.311887963,-0.162716022,0.853816227,0.380156322,0.734166667
-0.075591271,-1.319363212,0.393657597,-1.655121953,-0.13478471,0.293630332,0.574166667
-0.432264101,-2.081271995,0.465297541,0.236514944,-0.833138594,0.217298966,0.500833333
0.946719619,1.100563692,1.139252768,1.540051653,-1.447272344,0.212119149,0.433333333
0.231867723,1.654098931,0.358602374,1.300793253,-1.570343775,0.310296441,0.420833333
1.609840958,2.753041365,0.327043576,1.864690607,-0.825505407,0.337410695,0.6
0.755469055,1.529510424,1.379533474,1.623495308,-0.628525517,0.587743086,0.614166667
1.045358258,2.559992334,0.498531806,0.717578585,-0.253213253,0.148719644,0.651666667
0.375881616,0.026575756,0.401890345,0.459574318,-0.343329757,0.241198688,0.711666667
0.80795205,-1.479457335,0.324441413,-0.317507694,-1.130860769,0.314538397,0.730833333
0.249057539,0.48754524,1.039798765,0.812986171,-1.263089893,0.226040922,0.741666667
0.457708764,3.700714905,0.429018916,0.808603271,-0.794425989,0.197942385,0.740833333
1.221677785,1.65666385,0.425503628,1.454269836,-0.942665406,0.197551347,0.8325
0.042734575,2.136736678,0.489249877,0.352997846,-0.711096838,0.745333705,0.863333333
1.711060438,2.691844642,-0.295676518,1.796359209,0.36701418,0.295676518,0.865833333
1.320887802,-0.031598581,0.960959269,0.755169413,1.374960767,0.258568041,0.8725
1.332090224,0.929263851,0.81146188,0.924849377,0.7915069,0.393371972,0.864166667
-0.313577724,0.888912605,0.10185476,-0.170734635,0.859775869,0.495161939,0.894166667
1.59260985,3.494699305,0.087347463,2.008323989,1.653126512,0.506126089,0.993333333
0.752581486,2.19017045,0.157543926,0.937676504,2.078022872,0.432428287,1.019166667
1.380797819,2.147423124,0.801066828,1.676256479,2.144712686,0.368537149,1.018333333
2.116245977,2.413697517,0.519897192,2.05601747,2.449696712,0.636185048,1.041666667
1.3145724,2.270312769,1.623158629,2.147427361,2.838665812,0.649666479,1.139166667
-0.043770979,-0.697561707,0.27642146,0.065964686,2.875084451,0.8409086,1.228333333
0.580089313,-1.418339854,0.604127988,0.371337433,2.825167289,1.048802208,1.3525
-0.025050338,-3.09029023,0.172352762,0.502367855,2.85668743,0.914614462,1.390833333
0.086399865,-2.698476362,1.154424485,0.551218405,1.87381442,0.45418929,1.205833333
0.901536358,2.022692605,1.03830113,-0.368192672,1.452041486,0.544845392,0.9975
-0.036067005,0.134124499,0.577662154,0.298466668,1.827875414,0.980810948,0.973333333
-0.102115651,2.793397764,-0.077729354,0.299893664,1.95451901,1.103379371,1.043333333
1.931204699,1.919229787,1.928046712,1.649349191,1.051942928,1.087257105,1.196666667
1.17216692,-0.994498066,0.430966362,1.344888528,2.016499445,1.043261812,1.495
1.504781344,0.674764758,0.947910279,0.270479644,1.807297144,0.984517004,1.485833333
-0.324477563,2.781470438,0.490169661,-0.054225975,1.39975907,1.405621713,1.479166667
0.611787689,2.694529481,0.36307717,1.116951024,1.730199098,1.035547027,1.641666667
0.224381845,-0.180085284,0.092093595,-0.12204437,1.798957876,1.287238618,2.081666667
-0.15600244,0.637531509,0.37949593,0.191441724,1.800894752,1.430508234,2.245833333
0.170294231,-2.983635936,0.483637844,-0.958862077,1.490531854,1.294186758,2.235
-0.16837834,-1.60005692,0.760535922,-0.685406487,0.772872562,1.418199497,2.143333333
-0.332198226,-1.898891716,-0.080745479,-0.345503029,-0.684320092,1.365559727,1.97
0.484330725,0.103805404,1.310057563,0.316114908,-1.650009209,0.795283356,1.675833333
-0.849223977,-0.616037354,-0.453133131,-1.661191009,-2.292362605,1.283013413,1.391666667
0.779733908,1.862067816,0.552892795,2.177390872,-2.662420046,1.492168252,0.964166667
0.176429525,3.573524316,0.302770185,-0.00678784,-3.015813666,1.303690065,1.140833333
0.209813642,1.549465905,0.182717233,0.237171001,-3.061385109,1.005415556,1.368333333
0.913289518,2.208362537,-0.013481421,-0.28133992,-2.356358436,0.797799167,1.1875
-0.305452079,2.951250581,1.144406894,0.633677505,-2.171175763,1.553251876,0.885
1.357153025,1.272132915,0.538310262,1.809477465,-1.885154308,0.595917398,1.075
0.909001871,0.589379405,0.525924599,0.417873407,-1.808020096,0.966640422,1.185
1.338641175,4.21105624,0.514741004,1.146156382,-1.80545672,1.320172863,1.285833333
1.309038927,3.421215296,1.674155534,1.992765261,-1.406933956,1.193424464,1.634166667
-0.184482837,0.527384408,-0.132006997,0.633280441,-0.789678028,1.535538808,1.954166667
-0.276160343,-0.619274137,0.138586696,-1.049147355,-0.678841283,1.93045263,2.64
-0.729801809,-2.208488527,0.066007442,0.44384551,-0.502937076,1.961088995,2.499166667
-0.351031406,-2.879316371,0.420741182,-1.382113444,-1.220015187,1.893411674,2.330833333
0.308690238,-1.37849792,0.253104756,-0.219386958,-1.869231176,2.32768364,2.8125
-0.326784574,-1.290833096,-0.070645419,-1.47382392,-2.372074021,2.896579151,3.0225
-2.41406048,-5.341663748,-0.19938804,-0.893328101,-4.008984296,2.94765261,2.336666667
-0.069573533,-5.643046534,0.403538944,-1.688651678,-6.789277427,2.271211892,1.575833333
0.887962744,-1.112913993,0.521203271,0.256553072,-7.387779563,1.510796978,1.355
0.867452326,1.207923996,-0.13185093,1.109523909,-6.826273875,1.841294266,1.54
0.476061147,1.094404835,0.214205215,0.81125714,-6.323751791,1.743899305,1.353333333
1.50419576,3.46950232,1.092437817,1.747691245,-5.14967658,1.099430754,1.206666667
0.238752227,1.887492901,0.81436314,0.294544004,-5.241982814,1.064886795,1.299166667
0.719080782,0.58188338,1.006719472,-0.00470312,-5.273145296,1.358699618,1.320833333
0.612876752,4.310880981,0.248144838,0.270216056,-5.356880151,1.80848292,1.218333333
0.868170999,3.679453372,0.139755216,0.763368041,-5.013316026,1.625738308,1.165
0.332954624,5.390693504,0.54313216,1.476017957,-3.858371762,1.437130569,1.289166667
0.754423907,1.845500533,0.732201489,1.285888871,-3.82412742,1.209607097,1.455
0.307149574,1.322283417,-0.486539119,-0.454753001,-3.04264137,2.155230998,1.628333333
0.331021455,0.795258492,1.319263744,-0.107518364,-3.277061762,1.47812146,1.689166667
1.906486112,6.833026789,0.005478014,3.432654045,-1.489127559,1.816895882,1.820833333
0.069554093,2.654221089,0.146268048,0.523474876,-1.555087525,1.643488897,2.025
